"ObjectID","ClassificationID","AATID","AATCN","Classification","SubClassification","SubClassification2","SubClassification3"
"56533","7","300041273","AAT","Print","","",""
"56534","7","300041273","AAT","Print","","",""
"56535","7","300041273","AAT","Print","","",""
"56536","7","300041273","AAT","Print","","",""
"56537","7","300041273","AAT","Print","","",""
"56538","7","300041273","AAT","Print","","",""
"56539","7","300041273","AAT","Print","","",""
"56540","7","300041273","AAT","Print","","",""
"56541","7","300041273","AAT","Print","","",""
"56542","7","300041273","AAT","Print","","",""
"56543","7","300041273","AAT","Print","","",""
"56544","7","300041273","AAT","Print","","",""
"56545","7","300041273","AAT","Print","","",""
"56546","7","300041273","AAT","Print","","",""
"56547","7","300041273","AAT","Print","","",""
"56548","7","300041273","AAT","Print","","",""
"56549","7","300041273","AAT","Print","","",""
"56550","7","300041273","AAT","Print","","",""
"56551","7","300041273","AAT","Print","","",""
"56552","7","300041273","AAT","Print","","",""
"56553","7","300041273","AAT","Print","","",""
"56554","7","300041273","AAT","Print","","",""
"56555","7","300041273","AAT","Print","","",""
"56556","7","300041273","AAT","Print","","",""
"56557","7","300041273","AAT","Print","","",""
"56558","7","300041273","AAT","Print","","",""
"56559","7","300041273","AAT","Print","","",""
"56560","7","300041273","AAT","Print","","",""
"56561","7","300041273","AAT","Print","","",""
"56562","7","300041273","AAT","Print","","",""
"56563","7","300041273","AAT","Print","","",""
"56564","7","300041273","AAT","Print","","",""
"56565","7","300041273","AAT","Print","","",""
"56566","7","300041273","AAT","Print","","",""
"56567","7","300041273","AAT","Print","","",""
"56568","7","300041273","AAT","Print","","",""
"56569","7","300041273","AAT","Print","","",""
"56570","7","300041273","AAT","Print","","",""
"56571","7","300041273","AAT","Print","","",""
"56572","7","300041273","AAT","Print","","",""
"56573","7","300041273","AAT","Print","","",""
"56574","7","300041273","AAT","Print","","",""
"56575","7","300041273","AAT","Print","","",""
"56576","7","300041273","AAT","Print","","",""
"56577","7","300041273","AAT","Print","","",""
"56578","7","300041273","AAT","Print","","",""
"56579","7","300041273","AAT","Print","","",""
"56580","7","300041273","AAT","Print","","",""
"56581","7","300041273","AAT","Print","","",""
"56582","7","300041273","AAT","Print","","",""
"56583","7","300041273","AAT","Print","","",""
"56584","7","300041273","AAT","Print","","",""
"56585","7","300041273","AAT","Print","","",""
"56586","7","300041273","AAT","Print","","",""
"56587","7","300041273","AAT","Print","","",""
"56588","7","300041273","AAT","Print","","",""
"56589","7","300041273","AAT","Print","","",""
"56590","7","300041273","AAT","Print","","",""
"56591","7","300041273","AAT","Print","","",""
"56592","7","300041273","AAT","Print","","",""
"56593","7","300041273","AAT","Print","","",""
"56594","7","300041273","AAT","Print","","",""
"56595","7","300041273","AAT","Print","","",""
"56596","7","300041273","AAT","Print","","",""
"56597","7","300041273","AAT","Print","","",""
"56598","7","300041273","AAT","Print","","",""
"56599","7","300041273","AAT","Print","","",""
"56600","7","300041273","AAT","Print","","",""
"56601","7","300041273","AAT","Print","","",""
"56602","7","300041273","AAT","Print","","",""
"56603","7","300041273","AAT","Print","","",""
"56604","7","300041273","AAT","Print","","",""
"56605","7","300041273","AAT","Print","","",""
"56606","7","300041273","AAT","Print","","",""
"56607","7","300041273","AAT","Print","","",""
"56608","7","300041273","AAT","Print","","",""
"56609","7","300041273","AAT","Print","","",""
"56610","7","300041273","AAT","Print","","",""
"56611","7","300041273","AAT","Print","","",""
"56612","7","300041273","AAT","Print","","",""
"56613","7","300041273","AAT","Print","","",""
"56614","7","300041273","AAT","Print","","",""
"56615","7","300041273","AAT","Print","","",""
"56616","7","300041273","AAT","Print","","",""
"56617","7","300041273","AAT","Print","","",""
"56618","7","300041273","AAT","Print","","",""
"56619","7","300041273","AAT","Print","","",""
"56620","7","300041273","AAT","Print","","",""
"56621","7","300041273","AAT","Print","","",""
"56622","7","300041273","AAT","Print","","",""
"56623","7","300041273","AAT","Print","","",""
"56624","7","300041273","AAT","Print","","",""
"56625","7","300041273","AAT","Print","","",""
"56626","7","300041273","AAT","Print","","",""
"56627","7","300041273","AAT","Print","","",""
"56628","7","300041273","AAT","Print","","",""
"56629","7","300041273","AAT","Print","","",""
"56630","7","300041273","AAT","Print","","",""
"56631","7","300041273","AAT","Print","","",""
"56632","7","300041273","AAT","Print","","",""
"56633","7","300041273","AAT","Print","","",""
"56634","7","300041273","AAT","Print","","",""
"56635","7","300041273","AAT","Print","","",""
"56636","7","300041273","AAT","Print","","",""
"56637","7","300041273","AAT","Print","","",""
"56638","7","300041273","AAT","Print","","",""
"56639","7","300041273","AAT","Print","","",""
"56640","7","300041273","AAT","Print","","",""
"56641","7","300041273","AAT","Print","","",""
"56642","7","300041273","AAT","Print","","",""
"56643","10","300033618","AAT","Painting","","",""
"56644","6","300266304","AAT","Rare Book","","",""
"56645","10","300033618","AAT","Painting","","",""
"56646","10","300033618","AAT","Painting","","",""
"56647","10","300033618","AAT","Painting","","",""
"56648","10","300033618","AAT","Painting","","",""
"56649","1","300033973","AAT","Drawing &amp; Watercolor","","",""
"56650","10","300033618","AAT","Painting","","",""
"56651","10","300033618","AAT","Painting","","",""
"56652","7","300041273","AAT","Print","","",""
"56653","7","300041273","AAT","Print","","",""
"56654","7","300041273","AAT","Print","","",""
"56655","7","300041273","AAT","Print","","",""
"56656","7","300041273","AAT","Print","","",""
"56657","7","300041273","AAT","Print","","",""
"56658","7","300041273","AAT","Print","","",""
"56659","7","300041273","AAT","Print","","",""
"56660","7","300041273","AAT","Print","","",""
"56661","7","300041273","AAT","Print","","",""
"56662","7","300041273","AAT","Print","","",""
"56663","7","300041273","AAT","Print","","",""
"56664","7","300041273","AAT","Print","","",""
"56665","7","300041273","AAT","Print","","",""
"56666","7","300041273","AAT","Print","","",""
"56667","10","300033618","AAT","Painting","","",""
"56668","1","300033973","AAT","Drawing &amp; Watercolor","","",""
"56669","1","300033973","AAT","Drawing &amp; Watercolor","","",""
"56670","10","300033618","AAT","Painting","","",""
"56671","6","300266304","AAT","Rare Book","","",""
"56672","6","300266304","AAT","Rare Book","","",""
"56673","32","300015537","AAT","Panorama","","",""
"56674","6","300266304","AAT","Rare Book","","",""
"56676","6","300266304","AAT","Rare Book","","",""
"56677","6","300266304","AAT","Rare Book","","",""
"56678","10","300033618","AAT","Painting","","",""
"56679","10","300033618","AAT","Painting","","",""
"56680","10","300033618","AAT","Painting","","",""
"56681","10","300033618","AAT","Painting","","",""
"56682","10","300033618","AAT","Painting","","",""
"56683","10","300033618","AAT","Painting","","",""
"56685","10","300033618","AAT","Painting","","",""
"56687","10","300033618","AAT","Painting","","",""
"56688","10","300033618","AAT","Painting","","",""
"56689","10","300033618","AAT","Painting","","",""
"56690","10","300033618","AAT","Painting","","",""
"56691","10","300033618","AAT","Painting","","",""
"56693","10","300033618","AAT","Painting","","",""
"56694","10","300033618","AAT","Painting","","",""
"56695","10","300033618","AAT","Painting","","",""
"56696","10","300033618","AAT","Painting","","",""
"56697","10","300033618","AAT","Painting","","",""
"56699","10","300033618","AAT","Painting","","",""
"56700","10","300033618","AAT","Painting","","",""
"56701","10","300033618","AAT","Painting","","",""
"56702","10","300033618","AAT","Painting","","",""
"56703","10","300033618","AAT","Painting","","",""
"56704","10","300033618","AAT","Painting","","",""
"56705","10","300033618","AAT","Painting","","",""
"56707","6","300266304","AAT","Rare Book","","",""
"56731","7","300041273","AAT","Print","","",""
"56732","7","300041273","AAT","Print","","",""
"56733","7","300041273","AAT","Print","","",""
"56734","7","300041273","AAT","Print","","",""
"56735","7","300041273","AAT","Print","","",""
"56736","7","300041273","AAT","Print","","",""
"56737","7","300041273","AAT","Print","","",""
"56738","7","300041273","AAT","Print","","",""
"56739","7","300041273","AAT","Print","","",""
"56740","7","300041273","AAT","Print","","",""
"56741","7","300041273","AAT","Print","","",""
"56742","7","300041273","AAT","Print","","",""
"56743","7","300041273","AAT","Print","","",""
"56744","7","300041273","AAT","Print","","",""
"56745","7","300041273","AAT","Print","","",""
"56746","7","300041273","AAT","Print","","",""
"56747","7","300041273","AAT","Print","","",""
"56748","7","300041273","AAT","Print","","",""
"56749","7","300041273","AAT","Print","","",""
"56750","7","300041273","AAT","Print","","",""
"56751","7","300041273","AAT","Print","","",""
"56752","7","300041273","AAT","Print","","",""
"56753","7","300041273","AAT","Print","","",""
"56754","7","300041273","AAT","Print","","",""
"56755","7","300041273","AAT","Print","","",""
"56756","7","300041273","AAT","Print","","",""
"56757","7","300041273","AAT","Print","","",""
"56758","7","300041273","AAT","Print","","",""
"56759","7","300041273","AAT","Print","","",""
"56760","7","300041273","AAT","Print","","",""
"56761","7","300041273","AAT","Print","","",""
"56762","7","300041273","AAT","Print","","",""
"56763","7","300041273","AAT","Print","","",""
"56764","7","300041273","AAT","Print","","",""
"56765","7","300041273","AAT","Print","","",""
"56766","7","300041273","AAT","Print","","",""
"56767","7","300041273","AAT","Print","","",""
"56768","7","300041273","AAT","Print","","",""
"56769","7","300041273","AAT","Print","","",""
"56770","7","300041273","AAT","Print","","",""
"56771","7","300041273","AAT","Print","","",""
"56772","7","300041273","AAT","Print","","",""
"56773","7","300041273","AAT","Print","","",""
"56774","7","300041273","AAT","Print","","",""
"56775","7","300041273","AAT","Print","","",""
"56776","7","300041273","AAT","Print","","",""
"56777","7","300041273","AAT","Print","","",""
"56778","7","300041273","AAT","Print","","",""
"56779","7","300041273","AAT","Print","","",""
"56780","7","300041273","AAT","Print","","",""
"56781","7","300041273","AAT","Print","","",""
"56782","7","300041273","AAT","Print","","",""
"56783","7","300041273","AAT","Print","","",""
"56784","7","300041273","AAT","Print","","",""
"56785","7","300041273","AAT","Print","","",""
"56786","7","300041273","AAT","Print","","",""
"56787","7","300041273","AAT","Print","","",""
"56788","7","300041273","AAT","Print","","",""
"56789","7","300041273","AAT","Print","","",""
"56790","7","300041273","AAT","Print","","",""
"56791","7","300041273","AAT","Print","","",""
"56792","7","300041273","AAT","Print","","",""
"56793","7","300041273","AAT","Print","","",""
"56794","7","300041273","AAT","Print","","",""
"56795","7","300041273","AAT","Print","","",""
"56796","7","300041273","AAT","Print","","",""
"56797","7","300041273","AAT","Print","","",""
"56798","7","300041273","AAT","Print","","",""
"56799","7","300041273","AAT","Print","","",""
"56800","7","300041273","AAT","Print","","",""
"56801","7","300041273","AAT","Print","","",""
"56802","7","300041273","AAT","Print","","",""
"56803","7","300041273","AAT","Print","","",""
"56804","7","300041273","AAT","Print","","",""
"56805","7","300041273","AAT","Print","","",""
"56806","7","300041273","AAT","Print","","",""
"56807","7","300041273","AAT","Print","","",""
"56808","7","300041273","AAT","Print","","",""
"56809","7","300041273","AAT","Print","","",""
"56810","7","300041273","AAT","Print","","",""
"56811","7","300041273","AAT","Print","","",""
"56812","7","300041273","AAT","Print","","",""
"56813","7","300041273","AAT","Print","","",""
"56814","7","300041273","AAT","Print","","",""
"56815","7","300041273","AAT","Print","","",""
"56816","7","300041273","AAT","Print","","",""
"56817","7","300041273","AAT","Print","","",""
"56818","7","300041273","AAT","Print","","",""
"56819","7","300041273","AAT","Print","","",""
"56820","7","300041273","AAT","Print","","",""
"56821","7","300041273","AAT","Print","","",""
"56822","7","300041273","AAT","Print","","",""
"56823","7","300041273","AAT","Print","","",""
"56824","7","300041273","AAT","Print","","",""
"56825","7","300041273","AAT","Print","","",""
"56826","7","300041273","AAT","Print","","",""
"56827","7","300041273","AAT","Print","","",""
"56828","7","300041273","AAT","Print","","",""
"56829","7","300041273","AAT","Print","","",""
"56830","7","300041273","AAT","Print","","",""
"56831","7","300041273","AAT","Print","","",""
"56832","7","300041273","AAT","Print","","",""
"56833","7","300041273","AAT","Print","","",""
"56834","7","300041273","AAT","Print","","",""
"56835","7","300041273","AAT","Print","","",""
"56836","7","300041273","AAT","Print","","",""
"56837","7","300041273","AAT","Print","","",""
"56838","7","300041273","AAT","Print","","",""
"56839","7","300041273","AAT","Print","","",""
"56840","7","300041273","AAT","Print","","",""
"56841","7","300041273","AAT","Print","","",""
"56842","7","300041273","AAT","Print","","",""
"56843","7","300041273","AAT","Print","","",""
"56844","7","300041273","AAT","Print","","",""
"56845","7","300041273","AAT","Print","","",""
"56846","7","300041273","AAT","Print","","",""
"56847","7","300041273","AAT","Print","","",""
"56848","7","300041273","AAT","Print","","",""
"56849","7","300041273","AAT","Print","","",""
"56850","7","300041273","AAT","Print","","",""
"56851","7","300041273","AAT","Print","","",""
"56853","10","300033618","AAT","Painting","","",""
"56857","10","300033618","AAT","Painting","","",""
"56858","12","300028569","AAT","Manuscript","","",""
"56859","4","300046300","AAT","Photograph","","",""
"56860","27","300027221","AAT","Poster","","",""
"56861","27","300027221","AAT","Poster","","",""
"56862","6","300266304","AAT","Rare Book","","",""
"56863","4","300046300","AAT","Photograph","","",""
"56864","7","300041273","AAT","Print","","",""
"56865","2","300047090","AAT","Sculpture","","",""
"56866","23","300375748","AAT","Archive","","",""
"56867","4","300046300","AAT","Photograph","","",""
"56868","7","300041273","AAT","Print","","",""
"56869","27","300027221","AAT","Poster","","",""
"56870","1","300033973","AAT","Drawing &amp; Watercolor","","",""
"56871","1","300033973","AAT","Drawing &amp; Watercolor","","",""
"56872","27","300027221","AAT","Poster","","",""
"56873","1","300033973","AAT","Drawing &amp; Watercolor","","",""
"56874","1","300033973","AAT","Drawing &amp; Watercolor","","",""
"56875","6","300266304","AAT","Rare Book","","",""
"56876","6","300266304","AAT","Rare Book","","",""
"56877","6","300266304","AAT","Rare Book","","",""
