"ID","Rlink"
"64705","http://collections.britishart.yale.edu/vufind/Record/3664408"
"64706","http://collections.britishart.yale.edu/vufind/Record/3664409"
"64707","http://collections.britishart.yale.edu/vufind/Record/3664410"
"64711","http://collections.britishart.yale.edu/vufind/Record/3664411"
"64712","http://collections.britishart.yale.edu/vufind/Record/3664412"
"64713","http://collections.britishart.yale.edu/vufind/Record/3664413"
"64714","http://collections.britishart.yale.edu/vufind/Record/3664414"
"64715","http://collections.britishart.yale.edu/vufind/Record/3664415"
"64717","http://collections.britishart.yale.edu/vufind/Record/3664416"
"64718","http://collections.britishart.yale.edu/vufind/Record/3664417"
"64719","http://collections.britishart.yale.edu/vufind/Record/3664418"
"64720","http://collections.britishart.yale.edu/vufind/Record/3664419"
"64721","http://collections.britishart.yale.edu/vufind/Record/3664420"
"64722","http://collections.britishart.yale.edu/vufind/Record/3664421"
"64723","http://collections.britishart.yale.edu/vufind/Record/3664422"
"64724","http://collections.britishart.yale.edu/vufind/Record/3664423"
"64725","http://collections.britishart.yale.edu/vufind/Record/3664424"
"64726","http://collections.britishart.yale.edu/vufind/Record/3664425"
"64728","http://collections.britishart.yale.edu/vufind/Record/3664426"
"64729","http://collections.britishart.yale.edu/vufind/Record/3664427"
"64730","http://collections.britishart.yale.edu/vufind/Record/3664428"
"64735","http://collections.britishart.yale.edu/vufind/Record/3664429"
"64736","http://collections.britishart.yale.edu/vufind/Record/3664430"
"64739","http://collections.britishart.yale.edu/vufind/Record/3664431"
"64740","http://collections.britishart.yale.edu/vufind/Record/3664432"
"64742","http://collections.britishart.yale.edu/vufind/Record/3664433"
"64743","http://collections.britishart.yale.edu/vufind/Record/3664434"
"64744","http://collections.britishart.yale.edu/vufind/Record/3664435"
"64745","http://collections.britishart.yale.edu/vufind/Record/3664436"
"64746","http://collections.britishart.yale.edu/vufind/Record/3664437"
"64747","http://collections.britishart.yale.edu/vufind/Record/3664438"
"64749","http://collections.britishart.yale.edu/vufind/Record/3664439"
"64750","http://collections.britishart.yale.edu/vufind/Record/3664440"
"64751","http://collections.britishart.yale.edu/vufind/Record/3664441"
"64752","http://collections.britishart.yale.edu/vufind/Record/3664442"
"64754","http://collections.britishart.yale.edu/vufind/Record/3664443"
"64755","http://collections.britishart.yale.edu/vufind/Record/3664444"
"64756","http://collections.britishart.yale.edu/vufind/Record/3664445"
"64757","http://collections.britishart.yale.edu/vufind/Record/3664446"
"64758","http://collections.britishart.yale.edu/vufind/Record/3664447"
"64759","http://collections.britishart.yale.edu/vufind/Record/3664448"
"64760","http://collections.britishart.yale.edu/vufind/Record/3664449"
"64761","http://collections.britishart.yale.edu/vufind/Record/3664450"
"64762","http://collections.britishart.yale.edu/vufind/Record/3664451"
"64764","http://collections.britishart.yale.edu/vufind/Record/3664452"
"64765","http://collections.britishart.yale.edu/vufind/Record/3664453"
"64766","http://collections.britishart.yale.edu/vufind/Record/3664454"
"64767","http://collections.britishart.yale.edu/vufind/Record/3664455"
"64768","http://collections.britishart.yale.edu/vufind/Record/3664456"
"64770","http://collections.britishart.yale.edu/vufind/Record/3664457"
"64771","http://collections.britishart.yale.edu/vufind/Record/3664458"
"64772","http://collections.britishart.yale.edu/vufind/Record/3664459"
"64773","http://collections.britishart.yale.edu/vufind/Record/3664460"
"64774","http://collections.britishart.yale.edu/vufind/Record/3664461"
"64775","http://collections.britishart.yale.edu/vufind/Record/3664462"
"64777","http://collections.britishart.yale.edu/vufind/Record/3664463"
"64778","http://collections.britishart.yale.edu/vufind/Record/3664464"
"64780","http://collections.britishart.yale.edu/vufind/Record/3664465"
"64781","http://collections.britishart.yale.edu/vufind/Record/3664466"
"64782","http://collections.britishart.yale.edu/vufind/Record/3664467"
"64783","http://collections.britishart.yale.edu/vufind/Record/3664468"
"64784","http://collections.britishart.yale.edu/vufind/Record/3664469"
"64785","http://collections.britishart.yale.edu/vufind/Record/3664470"
"64786","http://collections.britishart.yale.edu/vufind/Record/3664471"
"64787","http://collections.britishart.yale.edu/vufind/Record/3664472"
"64788","http://collections.britishart.yale.edu/vufind/Record/3664473"
"64790","http://collections.britishart.yale.edu/vufind/Record/3664474"
"64791","http://collections.britishart.yale.edu/vufind/Record/3664475"
"64792","http://collections.britishart.yale.edu/vufind/Record/3664476"
"64796","http://collections.britishart.yale.edu/vufind/Record/3664477"
"64798","http://collections.britishart.yale.edu/vufind/Record/3664478"
"64799","http://collections.britishart.yale.edu/vufind/Record/3664479"
"64800","http://collections.britishart.yale.edu/vufind/Record/3664480"
"64801","http://collections.britishart.yale.edu/vufind/Record/3664481"
"64802","http://collections.britishart.yale.edu/vufind/Record/3664482"
"64803","http://collections.britishart.yale.edu/vufind/Record/3664483"
"64804","http://collections.britishart.yale.edu/vufind/Record/3664484"
"64807","http://collections.britishart.yale.edu/vufind/Record/3664485"
"64808","http://collections.britishart.yale.edu/vufind/Record/3664486"
"64809","http://collections.britishart.yale.edu/vufind/Record/3664487"
"64810","http://collections.britishart.yale.edu/vufind/Record/3664488"
"64811","http://collections.britishart.yale.edu/vufind/Record/3664489"
"64812","http://collections.britishart.yale.edu/vufind/Record/3664490"
"64813","http://collections.britishart.yale.edu/vufind/Record/3664491"
"64814","http://collections.britishart.yale.edu/vufind/Record/3664492"
"64818","http://collections.britishart.yale.edu/vufind/Record/3664493"
"64819","http://collections.britishart.yale.edu/vufind/Record/3664494"
"64821","http://collections.britishart.yale.edu/vufind/Record/3664495"
"64822","http://collections.britishart.yale.edu/vufind/Record/3664496"
"64823","http://collections.britishart.yale.edu/vufind/Record/3664497"
"64828","http://collections.britishart.yale.edu/vufind/Record/3664498"
"64829","http://collections.britishart.yale.edu/vufind/Record/3664499"
